ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
CH29AE,6,1.5,22.0,11.0,38,43.5836718082428,2,True,5,hard,0,14,4,0,0,8
CH29AE,2,2.0,34.0,11.0,39,24.21535325050354,1,False,2,medium,1,14,0,0,0,8
CH29AE,2,2.0,72.0,33.0,40,37.95015859603882,2,False,2,medium,1,15,1,1,0,8
CH29AE,4,1.5,80.0,48.0,41,42.96342658996582,2,True,6,hard,0,16,1,1,1,9
CH29AE,6,0.5,94.0,50.0,42,44.30127167701721,1,True,7,hard,0,16,2,0,0,9
CH29AE,2,2.0,56.0,28.0,43,42.77298903465271,3,True,7,medium,0,16,3,0,0,9
IT02AH,3,2.0,11.0,3.0,00,9.89075803756714,1,False,1,medium,1,0,0,0,0,0
IT02AH,1,0.0,155.0,99.0,01,56.91432285308838,1,False,3,medium,1,1,1,1,0,0
IT02AH,3,1.0,17.0,9.0,02,7.411751985549927,1,False,1,medium,1,2,2,1,0,0
IT02AH,4,2.0,61.0,30.0,03,25.586352109909058,1,False,4,hard,1,3,3,1,0,0
IT02AH,2,1.5,156.0,68.0,04,49.476887702941895,1,True,6,medium,0,4,1,1,1,1
IT02AH,2,2.0,118.0,53.0,05,46.01459932327271,1,True,6,medium,0,4,2,0,0,1
IT02AH,1,0.0,119.0,66.0,06,34.98905396461487,2,False,4,medium,1,4,0,0,0,1
IT02AH,3,1.5,79.0,33.0,07,29.35334801673889,1,False,4,medium,1,5,1,1,0,1
IT02AH,5,0.0,145.0,78.0,08,44.849366426467896,1,True,7,hard,0,6,1,1,1,2
IT02AH,5,1.5,138.0,62.0,09,44.86906957626343,1,True,6,hard,0,6,2,0,0,2
IT02AH,3,1.0,171.0,78.0,10,49.81283211708069,2,True,7,medium,0,6,3,0,0,2
IT02AH,6,0.5,24.0,10.0,11,9.887998819351196,1,False,1,hard,1,6,0,0,0,2
IT02AH,2,0.5,157.0,77.0,12,43.864094734191895,1,True,6,medium,0,7,1,1,1,3
IT02AH,3,0.0,140.0,65.0,13,44.27429270744324,1,True,6,medium,0,7,2,0,0,3
IT02AH,4,1.5,31.0,7.0,14,10.457918405532835,1,False,2,hard,1,7,0,0,0,3
IT02AH,2,0.0,151.0,50.0,15,43.68314027786255,1,True,7,medium,0,8,1,1,1,4
IT02AH,5,2.0,25.0,9.0,16,13.706799507141112,1,False,1,hard,1,8,0,0,0,4
IT02AH,4,0.0,124.0,41.0,17,44.27945399284363,1,True,6,hard,0,9,1,1,1,5
IT02AH,1,0.5,138.0,50.0,18,44.87670159339905,1,True,6,medium,0,9,2,0,0,5
IT02AH,3,1.5,134.0,59.0,19,43.63633179664612,2,True,7,medium,0,9,3,0,0,5
IT02AH,4,1.5,27.0,10.0,20,9.033296823501589,2,False,2,hard,1,9,0,0,0,5
IT02AH,6,0.0,135.0,44.0,21,44.28990650177002,1,True,7,hard,0,10,1,1,1,6
IT02AH,4,0.5,126.0,34.0,22,43.15379023551941,1,True,7,hard,0,10,2,0,0,6
IT02AH,3,2.0,65.0,22.0,23,32.14801907539368,2,False,3,medium,1,10,0,0,0,6
IT02AH,1,1.0,61.0,27.0,24,21.086410522460938,1,False,3,medium,1,11,1,1,0,6
IT02AH,3,2.0,89.0,36.0,25,25.96438479423523,3,False,3,medium,1,12,2,1,0,6
IT02AH,1,0.0,120.0,53.0,26,43.38355445861816,3,True,7,medium,0,13,1,1,1,7
IT02AH,6,2.0,62.0,19.0,27,15.42729640007019,1,False,2,hard,1,13,0,0,0,7
IT02AH,1,2.0,139.0,63.0,28,44.14197731018066,1,True,7,medium,0,14,1,1,1,8
IT02AH,5,1.0,114.0,114.0,29,42.47879695892334,1,True,7,hard,0,14,2,0,0,8
IT02AH,5,2.0,52.0,19.0,30,18.145952939987183,2,False,3,hard,1,14,0,0,0,8
IT02AH,6,0.5,116.0,37.0,31,39.42564415931702,2,False,3,hard,1,15,1,1,0,8
IT02AH,4,2.0,18.0,5.0,32,8.973448038101196,2,False,2,hard,1,16,2,1,0,8
